Query,Language,Intent,Response,Symptom,Condition,Recommendation (Condition),Age,Gender,Health Condition
How can I reduce my cholesterol levels?,English,recommendation,"Eat a balanced diet rich in fiber, reduce saturated fats, and increase physical activity to lower cholesterol levels.",Fatigue,high_cholesterol,Avoid trans fats and fried foods; focus on omega-3 fatty acids.,50.0,Female,general
මට මනෝවිද්‍යා ආතතිය අඩු කිරීමට මනෝපදේශ අවශ්‍යයි.,Sinhala,help_request,මනෝවිද්‍යා ආතතිය අඩු කිරීමට ධ්‍යානය සහ මෘදු ව්‍යායාම භාවිතා කරන්න.,Fatigue,stress,Engage in relaxation techniques like deep breathing and yoga.,40.0,Male,general
How can I keep my blood sugar levels in check?,English,recommendation_for_diabetes,"Eat balanced meals, engage in physical activity, and monitor your blood sugar levels regularly to keep them in check.",Frequent urination,diabetes,"Include whole grains, vegetables, and lean proteins to manage blood sugar levels.",50.0,Male,diabetes
මට පෝෂණය සඳහා උපදෙස් අවශ්‍යයි.,Sinhala,help_request_for_diabetes,පෝෂණ මනාලනය සඳහා පෝෂක ආහාර පෝෂණය සහ අඩු ශුද්ධ ආහාර භාවිතා කරන්න.,Frequent urination,diabetes,"Include fiber-rich vegetables, lean proteins, and healthy fats in your diet.",45.0,Male,diabetes
How can I reduce stress naturally?,English,recommendation,"Practice deep breathing, engage in physical exercise, and get adequate sleep to help reduce stress levels.",Fatigue,stress,Avoid excessive caffeine and ensure regular relaxation through yoga or meditation.,40.0,Female,general
මට ආහාර පෝෂණ මනාලනය සඳහා උපදෙස් ලබාගන්න.,Sinhala,help_request_for_diabetes,ආහාර පෝෂණ මනාලනය සඳහා ග්ලූකෝස් අඩු සහ අඩු ලවණ ආහාර භාවිතා කරන්න.,Frequent urination,diabetes,"Include whole grains, lean proteins, and fiber-rich vegetables in every meal.",40.0,Male,diabetes
How can I prevent heart disease naturally?,English,recommendation,"Eat a diet rich in fruits, vegetables, whole grains, and healthy fats like omega-3 to help prevent heart disease.",Chest discomfort,heart_disease,"Avoid smoking, maintain a healthy weight, and engage in physical activity regularly.",55.0,Male,general
මට අධි රුධිර පීඩනය පාලනය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,help_request_for_hypertension,අධි රුධිර පීඩනය පාලනය සඳහා අඩු ලවණ සහ ග්ලූකෝස් අඩු ආහාර භාවිතා කරන්න.,Headache,hypertension,Include potassium-rich foods like bananas and spinach while avoiding salt.,55.0,Male,hypertension
What are the best exercises to lower blood pressure?,English,recommendation_for_hypertension,"Aerobic exercises such as walking, swimming, and cycling can help lower blood pressure naturally.",Dizziness,hypertension,Engage in 30 minutes of moderate activity most days of the week.,60.0,Female,hypertension
මට මනෝවිද්‍යා ආතතිය අඩු කිරීමට මනෝපදේශ ක්‍රම මොනවාද?,Sinhala,recommendation,මනෝවිද්‍යා ආතතිය අඩු කිරීමට ධ්‍යානය සහ මෘදු ව්‍යායාම භාවිතා කරන්න.,Fatigue,stress,Practice relaxation techniques and prioritize sleep to reduce stress levels.,40.0,Female,general
How can I manage both diabetes and hypertension?,English,recommendation_for_both,"Monitor your blood sugar and blood pressure levels, reduce sodium and sugar intake, and stay active.",Frequent urination,diabetes_+_hypertension,Work with a healthcare provider to create a treatment plan tailored to your needs.,60.0,Male,both
මට ආහාර පෝෂණ මනාලනය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,help_request_for_diabetes,ආහාර පෝෂණ මනාලනය සඳහා ග්ලූකෝස් අඩු සහ ශාක ආහාර භාවිතා කරන්න.,Frequent urination,diabetes,"Focus on meals high in fiber, lean proteins, and low-glycemic index foods.",40.0,Male,diabetes
How can I reduce the risk of stroke?,English,recommendation_for_hypertension,"Manage blood pressure, reduce alcohol consumption, and eat a healthy diet to lower the risk of stroke.",Dizziness,hypertension,"Include fruits, vegetables, and whole grains, and avoid smoking.",50.0,Female,hypertension
"මට දියවැඩියාව සහ අධි රුධිර පීඩනය පාලනය කරන අතර, ආහාර වේලක් සකසන්න.",Sinhala,food_advice_for_both,දියවැඩියාව සහ අධි රුධිර පීඩනය පාලනය සඳහා අඩු ග්ලයිසෙමික සහ අඩු ලවණ ආහාර භාවිතා කරන්න.,Fatigue,diabetes_+_hypertension,"Include more fruits, vegetables, lean proteins, and limit sodium intake.",60.0,Male,both
How can I improve my digestion naturally?,English,recommendation,"Drink plenty of water, eat fiber-rich foods, and avoid lying down immediately after meals to improve digestion.",Bloating,indigestion,Avoid carbonated beverages and increase your intake of fiber and fluids.,50.0,Male,general
මට රුධිර පීඩනය පාලනය කිරීම සඳහා සකසන්න.,Sinhala,help_request_for_hypertension,රුධිර පීඩනය පාලනය කිරීම සඳහා පෝෂ්‍යාරුක්ත ආහාර සහ මෘදු ව්‍යායාම භාවිතා කරන්න.,Headache,hypertension,"Avoid processed foods and focus on high-fiber, potassium-rich meals.",50.0,Male,hypertension
What are signs of blood sugar imbalance?,English,diagnosis_inquiry_for_diabetes,"Symptoms include fatigue, dizziness, confusion, and excessive thirst.",Fatigue,diabetes,Monitor your blood sugar levels regularly to prevent imbalances.,45.0,Female,diabetes
මට මනෝවිද්‍යා ආතතිය අඩු කිරීමට උපකාර අවශ්‍යයි.,Sinhala,help_request,මනෝවිද්‍යා ආතතිය අඩු කිරීමට ධ්‍යානය සහ හුස්ම වැඩි ක්‍රියාවන් භාවිතා කරන්න.,Fatigue,stress,Engage in breathing exercises and practice yoga or mindfulness.,40.0,Male,general
How can I maintain a healthy heart naturally?,English,recommendation,"Eat a diet rich in omega-3 fatty acids, avoid processed foods, and engage in regular exercise to keep your heart healthy.",Chest discomfort,heart_disease,"Limit salt and unhealthy fats, and focus on omega-3 rich foods like salmon.",55.0,Male,general
මට දියවැඩියාව පාලනය සඳහා සකසන්න.,Sinhala,food_advice_for_diabetes,දියවැඩියාව පාලනය සඳහා අඩු ග්ලයිසෙමික සහ අඩු ලවණ ආහාර භාවිතා කරන්න.,Frequent urination,diabetes,"Focus on protein-rich meals, whole grains, and high-fiber vegetables.",50.0,Male,diabetes
How can I lower my blood sugar levels quickly?,English,recommendation_for_diabetes,"Drink water, reduce carbohydrate intake, and engage in light physical activity to lower blood sugar levels quickly.",Frequent urination,diabetes,Avoid sugary foods and drink water regularly to help manage blood sugar.,50.0,Male,diabetes
මට අධි රුධිර පීඩනය පාලනය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,help_request_for_hypertension,අධි රුධිර පීඩනය පාලනය සඳහා අඩු ලවණ සහ අඩු ග්ලූකෝස් ආහාර භාවිතා කරන්න.,Headache,hypertension,"Include potassium-rich foods, and reduce sodium and saturated fat intake.",55.0,Female,hypertension
What foods should I avoid with diabetes?,English,food_advice_for_diabetes,"Avoid sugary snacks, sugary drinks, and high-carb foods to maintain healthy blood sugar levels.",Frequent urination,diabetes,"Focus on whole grains, vegetables, and lean proteins.",50.0,Male,diabetes
මට ආහාර පෝෂණ මනාලනය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,help_request_for_diabetes,ආහාර පෝෂණ මනාලනය සඳහා ග්ලූකෝස් අඩු සහ ශාක ආහාර භාවිතා කරන්න.,Frequent urination,diabetes,"Include lean proteins, whole grains, and leafy vegetables in meals.",45.0,Female,diabetes
How can I improve my heart health naturally?,English,recommendation,"Eat a diet rich in fruits, vegetables, healthy fats, and whole grains. Avoid smoking and alcohol.",Chest discomfort,heart_disease,Include omega-3 fatty acids and engage in regular exercise.,60.0,Male,general
මට දියවැඩියාව සඳහා ආහාර වේලක් සකසන්න.,Sinhala,food_advice_for_diabetes,දියවැඩියාව සඳහා අඩු ග්ලයිසෙමික ආහාර සහ ශාක ආහාර භාවිතා කරන්න.,Frequent urination,diabetes,"Focus on whole grains, lean meats, and avoid refined sugars.",55.0,Male,diabetes
How can I manage both diabetes and high blood pressure?,English,recommendation_for_both,"Monitor blood sugar and blood pressure regularly, reduce salt intake, and follow a healthy diet and regular exercise.",Frequent urination,diabetes_+_hypertension,"Include more fruits, vegetables, and whole grains, and limit processed food.",55.0,Male,both
